ref,mosquito_species,pathogen,source,traits
Ruybal_2016_Paras&Vec,Culex pipiens,NA,Shocket 2020,"1/MDR, pLA"
Ruybal_2016_Parasites&Vectors,Culex pipiens,NA,Shocket 2020,"GCD, 1/mu"
Salazar_2007,Aedes spp.,other,Mordecai 2017,EIP
Shapiro et al. 2017,Anopheles stephensi,Plasmodium falciparum,Villena 2022,"PDR, bc"
Shapiro et al. 2017,Anopheles stephensi,none,Villena 2022,"a, mu"
Shelton_1973_MosquitoNews,Aedes sollicitans,NA,Shocket 2020,"1/MDR, pLA"
Shelton_1973_MosquitoNews,Aedes triseriatus,NA,Shocket 2020,"1/MDR, pLA"
Shelton_1973_MosquitoNews,Culex quinquefasciatus,NA,Shocket 2020,"1/MDR, pLA"
Shelton_1973_MosquitoNews,Culex restuans,NA,Shocket 2020,"1/MDR, pLA"
"Shute & Maryon, 1952",Anopheles atroparvus,Plasmodium vivax and plasmodium malarie and plasmodium ovale,Mordecai 2013,EIP
Shute and Maryon 1952,Anopheles maculipennies,Plasmodium malariae,Villena 2022,PDR
Siddons 1944,Anopheles culicifacies,Plasmodium malariae,Villena 2022,PDR
"Siddons, 1944",Anopheles culicifacies,Plasmodium falciparum and plasmodium vivax,Mordecai 2013,EIP
Stratman-Thomas 1940,Anopheles quadrimaculatus,Plasmodium vivax,Villena 2022,"PDR, bc"
"Stratman-Thomas, 1940",Anopheles quadrimaculatus,Plasmodium vivax,Mordecai 2013,bc
Teckle_1960_AJTMH,Culex pipiens,NA,Shocket 2020,"GCD, 1/MDR, pLA"
Teckle_1960_AJTMH,Culex quinquefasciatus,NA,Shocket 2020,"GCD, 1/MDR, pLA"
Tekle_1960_AJTMH,Culex pipiens,NA,Shocket 2020,pO
Tekle_1960_AJTMH,Culex quinquefasciatus,NA,Shocket 2020,pO
TengApperson_2000_J.Med.Entomol.,Aedes triseriatus,NA,Shocket 2020,pLA
Teng_Apperson_2000_JMedEnto,Aedes albopictus,NA,Mordecai 2017,pEA
Tesla 2018,Aedes aegypti,ZIKV,Tesla 2018,"bc, EIR"
Tesla 2018,Aedes aegypti,NA,Tesla 2018,lf
Thomas et al. 2018,Anopheles stephensi,Plasmodium falciparum,Villena 2022,PDR
Thomas et al. 2018,Anopheles stephensi,Plasmodium vivax,Villena 2022,PDR
Trpis&Shemanchuk_1970_TheCanadianEntomologist,Aedes vexans,NA,Shocket 2020,"1/MDR, pLA"
Tun-Lin_et_al_2000_MedVetEnto,Aedes aegypti,NA,Mordecai 2017,"MDR, pEA"
Turell_&_Lundstrom_1990_AmericanJofTropicalMedicineandHygiene,Aedes taeniorhynchus,SINV,Shocket 2020,"c, EIP"
Turell_Rossi_Bailey_1985_AmJTropMedHyg,Aedes taeniorhynchus,RVFV,Shocket 2020,"bc, EIP"
VanderLinde_1990_JEntSocSAfrica,Culex theileri,NA,Shocket 2020,Egg viability
Vaughan et al 1992,Anopheles gambiae,Plasmodium falciparum,Villena 2022,PDR
"Vaughan et al., 1992",Anopheles gambiae,Plasmodium falciparum,Mordecai 2013,EIP
Waite et al. 2019,Anopheles stephensi,Plasmodium falciparum,Villena 2022,PDR
Waite et al. 2020,Anopheles stephensi,Plasmodium falciparum,Villena 2022,PDR
Waite et al. 2021,Anopheles stephensi,Plasmodium falciparum,Villena 2022,PDR
Waite et al. 2022,Anopheles stephensi,Plasmodium falciparum,Villena 2022,PDR
Waite et al. 2023,Anopheles stephensi,Plasmodium falciparum,Villena 2022,PDR
Waite et al. 2024,Anopheles gambiae,Plasmodium falciparum,Villena 2022,PDR
Waite et al. 2025,Anopheles gambiae,Plasmodium falciparum,Villena 2022,PDR
Waite et al. 2026,Anopheles gambiae,Plasmodium falciparum,Villena 2022,PDR
Watts_1987,Aedes spp.,other,Mordecai 2017,EIP
Watts_et_al_1987_AJTMH,Aedes aegypti,DENV,Mordecai 2017,"EIP, c, b"
Westbrook_Thesis_2010,Aedes aegypti,NA,Mordecai 2017,"pEA, MDR"
Westbrook_Thesis_2010,Aedes albopictus,CHIKV,Mordecai 2017,c
Westbrook_Thesis_2010,Aedes albopictus,NA,Mordecai 2017,"pEA, MDR"
Westbrook_et_al_2010_VecBorn&ZooDis,Aedes albopictus,CHIKV,Mordecai 2017,"b, c"
Westbrook_et_al_2010_VecBorn&ZooDis,Aedes albopictus,NA,Mordecai 2017,MDR
Williams_2011_AusJEntrom,Aedes notoscriptus,NA,Shocket 2018,"pLA, 1/MDR"
Witwatana_Kittayaong_2006_Med&VetEnt,Aedes albopictus,NA,Mordecai 2017,"pEA, MDR"
Xiao_et_al_2014_Arch Virol,Aedes albopictus,DENV,Mordecai 2017,"EIP, b, c"
Yang_et_al_2008_EpidInfect,Aedes aegypti,NA,Mordecai 2017,"p/days, EFD"
Yee_et al_2016 JAE_in_review,Aedes albopictus,NA,Mordecai 2017,"1/MDR, TFD"
