Mosquito species,Parasite,Source,Trait names,Citation key,Reference
Culex pipiens,WNV,Shocket 2020,"c, bc, EIP",Kilpatrick2008-co,Kilpatrick_2008_PLOSPathogens
Culex pipiens molestus,NA,Shocket 2020,"1/mu, 1/MDR",Kiarie-Makara2015-co,KiarieMakura_2015_Jpharm&BioSciences
Culex pipiens molestus,NA,Shocket 2020,"EPR, pO",Oda1980-ha,Oda_1980_JTropMed
Culex pipiens molestus,NA,Shocket 2020,"1/mu, pLA",Oda1999-xw,Oda_1999_JAMMosqControlAssoc
Culex pipiens molestus,NA,Shocket 2020,"1/MDR, pLA",Olejnicek2000-hr,Olejnicek&Gelbic_2000_JofVectorEcology
Culex pipiens pallens,NA,Shocket 2020,"1/mu, 1/MDR",Kiarie-Makara2015-co,KiarieMakura_2015_Jpharm&BioSciences
Culex pipiens pallens,NA,Shocket 2020,"GCD, EPR, 1/MDR, pLA",Mogi1992-ua,Mogi_1992_AnnalsoftheEnt.SocietyofAmerica
Culex quinquefasciatus,NA,Shocket 2020,"pO, 1/mu, 1/MDR, pLA",Ciota2014-ae,Ciota_2014_JMedEntom
Culex quinquefasciatus,NA,Shocket 2020,"EPR, 1/MDR, pLA",Mogi1992-ua,Mogi_1992_AnnalsoftheEnt.SocietyofAmerica
Culex quinquefasciatus,NA,Shocket 2020,"1/MDR, pLA",Mpho2001-wt,Mpho_2001_Chemosphere
Culex quinquefasciatus,NA,Shocket 2020,"EPR, pO",Oda1980-ha,Oda_1980_JTropMed
Culex quinquefasciatus,NA,Shocket 2020,"1/mu, pLA",Oda1999-xw,Oda_1999_JAMMosqControlAssoc
Culex quinquefasciatus,NA,Shocket 2020,Egg viability,Rayah1983-tk,Rayah_1983_NedEntomolVerAmsterdam
Culex quinquefasciatus,NA,Shocket 2020,GCD,Reisen1992-cd,Reisen_1992_JMedEntomol
Culex quinquefasciatus,NA,Shocket 2020,pLA,Rueda1990-zf,Rueda_Patel_Axtell_Stinner_1990_JMedEntomol
Culex quinquefasciatus,NA,Shocket 2020,1/MDR,Rueda1990-zf,Rueda_Patel_Axtell_Stinner_1990_JMedEntomol
Culex quinquefasciatus,NA,Shocket 2020,"1/MDR, pLA",Shelton1973-xv,Shelton_1973_MosquitoNews
Culex quinquefasciatus,NA,Shocket 2020,"GCD, 1/MDR, pLA",Tekle1960-xy,Tekle_1960_AJTMH
Culex quinquefasciatus,NA,Shocket 2020,pO,Tekle1960-xy,Tekle_1960_AJTMH
Culex quinquefasciatus,WNV,Shocket 2020,EIP,Paull2017-ps,Paull_2017_ProcB
Culex restuans,NA,Shocket 2020,"1/MDR, pLA",Buth1990-sw,Buth_1990_JAMCA
Culex restuans,NA,Shocket 2020,"1/mu, 1/MDR, pLA",Ciota2014-ae,Ciota_2014_JMedEntom
Culex restuans,NA,Shocket 2020,"1/MDR, pLA",Madder1983-mn,Madder_1983_JMedEntom
Culex restuans,NA,Shocket 2020,"1/MDR, pLA",Muturi2011-xd,Muturi_2011_JMedEntom
Culex restuans,NA,Shocket 2020,"1/MDR, pLA",Shelton1973-xv,Shelton_1973_MosquitoNews
Culex tarsalis,NA,Shocket 2020,"1/MDR, pLA",Buth1990-sw,Buth_1990_JAMCA
Culex tarsalis,NA,Shocket 2020,pLA,Dodson2012-nz,Dodson_2012_Parasites&Vectors
Culex tarsalis,NA,Shocket 2020,GCD,Reisen1992-cd,Reisen_1992_JMedEntomol
Culex tarsalis,NA,Shocket 2020,"1/mu, 1/MDR, pLA",Reisen1995-gy,Reisen_1995_JMedEntomol
Culex tarsalis,SLEV,Mordecai 2017,PDR,Reisen2006-cn,Reisen_etal_2006_JMedEntom
Culex tarsalis,SLEV,Shocket 2020,"b, c, EIP",Reisen1993-ck,Reisen_1993_J_Med_Entomology
Culex tarsalis,WEEV,Mordecai 2017,PDR,Reisen2006-cn,Reisen_etal_2006_JMedEntom
Culex tarsalis,WEEV,Shocket 2020,"c, bc, EIP",Kramer1983-di,Kramer_et_al_1983_AmJTropMedHyg
Culex tarsalis,WEEV,Shocket 2020,"b, c, EIP",Reisen1993-ck,Reisen_1993_J_Med_Entomology
Culex tarsalis,WNV,Shocket 2020,1/MDR,Dodson2012-nz,Dodson_2012_Parasites&Vectors
Culex tarsalis,WNV,Shocket 2020,"b, EIP",Reisen2006-cn,Reisen_etal_2006_JMedEntom
Culex tarsalis,WNV-NY99,Mordecai 2017,PDR,Reisen2006-cn,Reisen_etal_2006_JMedEntom
Culex theileri,NA,Shocket 2020,Egg viability,Van_der_Westhuizen_MC1990-ye,Van_der_Linde1990-jd
Culex univitattus,WNV-SA,Mordecai 2017,PDR,Reisen2006-cn,Reisen_etal_2006_JMedEntom
Culex univittatus,WNV,Shocket 2020,"bc, EIP",Cornel1993-cu,Cornel_1993_JMedEntom
Culiseta melanura,NA,Shocket 2020,"GCD, pO",Mahmood1997-jy,Mahmood_1997_JAMCA
Culiseta melanura,NA,Shocket 2020,"1/MDR, pLA",Mahmood1998-xd,Mahmood_1998_JMedEntom
Ochlerotatus camptorhynchus,NA,Shocket 2018,"1/MDR, pLA",Barton2005-nv,Barton_2005_ProcLSNSW
Ochlerotatus vigilax,RRV,Shocket 2018,"EIP, bc",Kay2002-li,Kay_&_Jennings_2002_J_Med_Entom
